id,decision,decision__agree_n,confidence,confidence__agree_n,exclusion_criterion,exclusion_criterion__agree_n,n_models,unanimous,decision__qwen2.5-14b,decision__llama3.1-8b,decision__ministral-3-14b,exclusion_criterion__qwen2.5-14b,exclusion_criterion__llama3.1-8b,exclusion_criterion__ministral-3-14b,confidence__qwen2.5-14b,confidence__llama3.1-8b,confidence__ministral-3-14b
2NWKUL9L,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
2PHY5J39,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
2T49YMK6,Exclude,2,90,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,95,80,95
2THEEY5F,Include,2,87,3,,0,3,False,Include,Exclude,Include,,E2,,85,80,95
2TX8U9DR,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
2VJLTSZ3,Exclude,3,90,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,80,100
2WRYVG65,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
2X2PAS8V,Exclude,2,98,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,100,100,95
2X9JMHT4,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
2XJ7KU9A,Exclude,2,93,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,100,80,100
2XJUL2WR,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
2XKF3RWQ,Exclude,2,90,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,95,80,95
2Y55ZF6B,Include,2,97,3,,0,3,False,Include,Exclude,Include,,E2,,100,100,90
32W3PSU3,Exclude,3,100,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,100,100,100
32WN6AM2,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
34Z6ZW3P,Include,3,91,3,,0,3,True,Include,Include,Include,,,,95,80,98
357F638V,Exclude,2,92,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,95,80,100
36MI3LMS,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
37CMCIVF,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,90,80,100
37H9BF86,Include,2,87,3,,0,3,False,Include,Exclude,Include,,E2,,85,80,95
39JIYCGS,Exclude,3,97,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,90,100,100
3AEYU2LJ,Exclude,3,97,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,100,100
3B4C2K2C,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
3B4N2A6I,Exclude,3,97,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,95
3D763AVG,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
3ER8TQF6,Exclude,2,93,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,100,80,100
3GFG46MS,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
3J4WCN7B,Exclude,3,97,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,100,100
3J7Z78H2,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
3JBJKKI9,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
3JNBH44M,Include,2,91,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,98
3JQ83E28,Exclude,3,93,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,90
3KAIZA5P,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
3KFSY2GU,Include,2,92,3,,0,3,False,Include,Exclude,Include,,E2,,80,100,95
3L2Q2PAL,Exclude,2,97,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,95,100,95
3MIXZYQX,Exclude,2,92,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,95,80,100
3MKWPQ9A,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
3N52CEQW,Exclude,3,93,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,90
3NA4HRIP,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
3NQATZ2K,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
3NR3BL4V,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
3QCJW2ZN,Exclude,3,97,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,95
3R5Q3CEG,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
3SEVF3Q5,Exclude,3,90,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,80,100
3T28EMM5,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
3V495KCY,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
3VTVX7KT,Exclude,3,97,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,95,100,95
3XX42HSH,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
3ZNZI24I,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
44ISBVAT,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
44N786HD,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
45B77XVJ,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
48GIQUWN,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
48UIHVFJ,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
48ZYDTJZ,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4B7YECQB,Exclude,3,90,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,80,100
4BAKJUXV,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
4BWNRBJM,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
4BZ8BBQE,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
4EY4QWCA,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4FBSG7NP,Include,2,93,3,,0,3,False,Include,Exclude,Include,,E2,,100,80,100
4FPGZMH3,Exclude,3,93,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,80,100
4GDX64AJ,Include,2,91,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,98
4J4EEP2K,Exclude,3,97,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,95
4KLE3W56,Exclude,3,90,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,95,80,95
4KRI39WG,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
4LEPAMPV,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4LFGAPQC,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
4M5ZGUJ4,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
4M9K568Y,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4MDJGQEP,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4NKRHVZL,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4NS62PG3,Exclude,2,87,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,85,80,95
4QGK3K5L,Include,2,95,3,,0,3,False,Include,Include,Exclude,,,E2,100,90,95
4S5W5KAH,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
4T5I4QMZ,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
4T9G6G2T,Exclude,3,93,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,100,80,100
4UGBIT8Z,Exclude,3,97,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,95
4WPZLQL4,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
4X4PPHD4,Include,2,98,3,,0,3,False,Include,Include,Exclude,,,E2,100,100,95
52GHRF9H,Include,3,77,3,,0,3,True,Include,Include,Include,,,,85,50,95
53NFSG9J,Exclude,2,83,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,75,80,95
56ZPCH43,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
572Z2QKW,Exclude,2,92,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,95,80,100
575HLE3R,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
57BNTSI2,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
57EFH5LT,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
57WXARML,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
59BGU88J,Exclude,3,100,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,100,100,100
59PSK3GI,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
5A33MZ8Z,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
5ADT647V,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
5AP52GAZ,Exclude,3,67,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,20,80,100
5B32LWAB,Exclude,3,98,3,E2,2,3,True,Exclude,Exclude,Exclude,E2,E2,E5,95,100,100
5C7ZLYAZ,Exclude,2,90,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,95,80,95
5CBP4UP8,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
5CFBEZH2,Exclude,2,95,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,95,100,90
5DG2XSSU,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
5DTBDXBE,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
5E4XJI24,Exclude,3,92,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,95,80,100
5E8ALEYE,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
5EF8ULPT,Include,3,94,3,,0,3,True,Include,Include,Include,,,,95,90,98
5ER4X4Z8,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
5H4XKF9B,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
5JLFAQ8L,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
5JZJSNWT,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
5K4SAGSI,Include,2,97,3,,0,3,False,Include,Exclude,Include,,E2,,95,100,95
5MC2PIWN,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
5MMYVF4V,Include,2,93,3,,0,3,False,Include,Exclude,Include,,E2,,85,100,95
5NJTQ6RP,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
5PHMCM9N,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
5PM58E4D,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
5QEBGXPD,Exclude,3,87,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,85,80,95
5RJNSLXF,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
5RZDFDQW,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
5SDCXNME,Include,2,87,3,,0,3,False,Include,Exclude,Include,,E2,,85,80,95
5SPVQ2IW,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
5VIVTSFD,Exclude,3,100,3,E2,2,3,True,Exclude,Exclude,Exclude,E2,E2,E5,100,100,100
5W4XGCMF,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
5W9FXHX6,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
5WVF7ZBI,Exclude,2,83,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,75,80,95
5YB85U4Q,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,95
5YIL5GTQ,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
5ZD9PVUD,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
62TCJ6XG,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
63B5NNQ4,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
63NYZD7B,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
64H7TA4E,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
65DDBJKI,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
6639PZMG,Exclude,2,87,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,95,80,85
68294HM4,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
68RJ8HHW,Include,2,82,3,,0,3,False,Include,Include,Exclude,,,E2,70,80,95
69CPLI8L,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
6B9IX6HC,Exclude,2,88,3,E2,2,3,False,Exclude,Exclude,Include,E2,E2,,95,80,90
6C48SSQS,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
6DLNEIUD,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
6EV2PJ7Z,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
6G6XVX9S,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6G9SZ23T,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6IVXL87Q,Exclude,3,97,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,100,100
6J7QVBUM,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
6KZ4S6MQ,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6LBVUR9C,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6LFRZWN3,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6LIJXYS9,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
6M4RWLJS,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
6PMZSERN,Exclude,3,93,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,80,100
6SGHCCG5,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
6TRTUSMS,Exclude,3,90,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,95,80,95
6UQETPVH,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
6X43DA6S,Exclude,3,98,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,95,100,100
6X4KRE5V,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
6X7TBGXE,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
6YHWPKID,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
6YLBRS2K,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
6YLG6UUS,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
73WGXRXM,Exclude,3,93,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,80,100
74VX42V2,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
755MDMKG,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
76GYPQP2,Exclude,2,98,3,,0,3,False,Include,Exclude,Exclude,,E2,E5,100,100,95
76U73HEM,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
78UVWHIL,Exclude,3,98,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,95,100,100
78W252KB,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
78ZW3WB7,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
7AJK687B,Exclude,3,97,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,90,100,100
7CCRR6RU,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
7DT5ZU9H,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
7EHGZURW,Include,3,87,3,,0,3,True,Include,Include,Include,,,,85,80,95
7GGF3HZQ,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
7GKI8GF5,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
7GVUUJV2,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,95,100,95
7HUMBYEK,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
7HYIR8H8,Exclude,3,95,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,100,95
7HZVDDKU,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
7I42W4ZX,Include,2,87,3,,0,3,False,Include,Exclude,Include,,E2,,85,80,95
7KVJK3MG,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
7KYBJ763,Include,3,90,3,,0,3,True,Include,Include,Include,,,,95,80,95
7LMUBFN2,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
7LN3M5NV,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
7M44E832,Exclude,2,100,3,,0,3,False,Include,Exclude,Exclude,,E2,E5,100,100,100
7MELZFN2,Exclude,3,98,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,95,100,100
7MF3IPHD,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
7Q6G3EUU,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
7QDSEDDL,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
7QF737CS,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
7QX8DMMM,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
7T799ZFR,Exclude,3,97,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,90,100,100
7UPRWUX3,Exclude,3,98,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,95,100,100
7VAIU7XZ,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
7WBD45KG,Include,2,92,3,,0,3,False,Include,Exclude,Include,,E2,,100,80,95
7X3P7VM9,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
7XKKMQ4W,Include,3,99,3,,0,3,True,Include,Include,Include,,,,98,100,98
7Z2I4CQ5,Exclude,3,65,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,20,80,95
7Z773XEB,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
7Z8J33Y7,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
7ZP4PJB7,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
848UX4HG,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
887JQIZG,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
88DK7R3W,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
88M5GN9Y,Include,2,90,3,,0,3,False,Include,Include,Exclude,,,E2,75,100,95
88NZWTSE,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
88VVYXND,Exclude,2,98,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,100,100,95
8A4HUC3F,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
8AJUPJ7A,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
8CD5DXIW,Exclude,3,97,3,E2,2,3,True,Exclude,Exclude,Exclude,E5,E2,E2,90,100,100
8CEPY2NF,Exclude,3,67,3,E2,2,3,True,Exclude,Exclude,Exclude,,E2,E2,0,100,100
8FKFKFFY,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
8GFTKXH2,Exclude,3,99,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,98,100,100
8HCIHMQ3,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
8I4UGWA5,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
8I75ICB4,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
8KC4HHKR,Include,2,97,3,,0,3,False,Exclude,Include,Include,E2,,,95,100,95
