id,decision,exclusion_criterion,confidence,reasoning
32WN6AM2,Exclude,E2,95,The study focuses on recirculating aquaculture systems and does not discuss any transferable models to manufacturing industries.
34Z6ZW3P,Include,,95,"The abstract discusses VFL applied to smart manufacturing and introduces a benchmark for it, fitting the review scope."
357F638V,Include,,95,The abstract does not mention federated learning or other industries.
36MI3LMS,Exclude,E2,95,"The paper focuses on federated learning applied to construction safety datasets and edge devices, not manufacturing industries."
37CMCIVF,Exclude,E2,90,"FL application in cybersecurity, not manufacturing."
37H9BF86,Include,,85,The abstract discusses applications in industrial IoT and autonomous systems which are relevant to manufacturing.
39JIYCGS,Exclude,E5,90,The abstract clearly states that it is a survey paper reviewing Digital Twin technology without presenting original research or application.
3AEYU2LJ,Exclude,E5,90,The abstract describes a survey and analysis of existing data space architectures without presenting new empirical research or implementation details.
3B4C2K2C,Exclude,E2,95,The abstract discusses applications in medicine and other domains outside manufacturing.
3B4N2A6I,Exclude,E2,95,The abstract discusses AI integration in Human-Robot Interaction (HRI) for manufacturing but does not mention federated learning.
3D763AVG,Exclude,E2,95,"The study focuses on a novel intrusion detection model for cyber security, not manufacturing."
3ER8TQF6,Include,,100,The abstract does not mention federated learning or any application outside manufacturing.
3GFG46MS,Include,,95,"The abstract discusses an application of federated learning within manufacturing for defect detection, which falls under the review scope."
3J4WCN7B,Exclude,E5,90,The abstract describes a literature review or survey of security threats and solutions for Wireless Sensor Networks without presenting an original application or model.
3J7Z78H2,Exclude,E5,100,The abstract clearly states that this is a review presenting a taxonomy of manipulators without own contribution.
3JBJKKI9,Exclude,E2,95,The abstract discusses IoT systems for consumer electronics and does not mention manufacturing.
3JNBH44M,Include,,95,"The abstract discusses Federated Machine Learning (FedML) in the context of Industrial Internet of Things (IIoT), which is within manufacturing scope."
3JQ83E28,Exclude,E5,90,The abstract describes a literature review and framework proposal without presenting an original empirical study or implementation.
3KAIZA5P,Include,,95,"The abstract discusses federated learning applied to fault diagnosis in industrial settings, which falls within the scope of manufacturing applications."
3KFSY2GU,Include,,80,The abstract discusses federated learning but does not specify its application outside manufacturing.
3L2Q2PAL,Include,,95,The abstract does not specify an application outside manufacturing or provide a literature review without original contribution.
3MIXZYQX,Include,,95,"The abstract does not mention federated learning or any other specific machine learning technique, let alone its application outside manufacturing."
3MKWPQ9A,Exclude,E2,100,The abstract clearly discusses big data applications in healthcare.
3N52CEQW,Exclude,E5,90,The abstract clearly states that this is a review synthesizing literature and field practices without presenting original research or implementation.
3NA4HRIP,Exclude,E2,95,"The abstract discusses blockchain technology for military UAVs, which is outside manufacturing."
3NQATZ2K,Exclude,E5,100,The abstract clearly states it is a review focusing on synthesizing recent advances and future directions in sustainable electrical machines.
3NR3BL4V,Exclude,E2,95,The abstract clearly discusses federated learning applications in healthcare.
3QCJW2ZN,Exclude,E2,95,"The abstract discusses Intrusion Detection Systems for in-vehicle buses, which is outside the manufacturing scope."
3R5Q3CEG,Exclude,E5,90,
3SEVF3Q5,Exclude,E5,90,The abstract clearly states that this is a review paper without presenting original research or models.
3T28EMM5,Exclude,E2,95,The abstract clearly states that the paper focuses on healthcare applications.
3V495KCY,Exclude,E5,100,The abstract explicitly states that it is a comprehensive evaluation and systematic approach to analyzing existing literature on Industry 5.0.
3VTVX7KT,Exclude,E5,95,The abstract describes a literature review or survey without own contribution.
3XX42HSH,Exclude,E2,100,"The abstract is clearly about blockchain technology in the fashion/garment sector, unrelated to federated learning or manufacturing applications."
3ZNZI24I,Exclude,E2,95,The research focuses on enhancing CPS security for Industry 5.0 without mentioning federated learning or its application in manufacturing.
44ISBVAT,Exclude,E2,95,"The abstract discusses federated learning in cybersecurity for IoT devices, not manufacturing."
44N786HD,Exclude,E2,100,"The abstract discusses a security model for 5G networks, which is outside manufacturing."
45B77XVJ,Exclude,E2,100,The abstract discusses cybersecurity applications without mentioning manufacturing.
48GIQUWN,Exclude,E2,95,The abstract discusses IoT network security in general without mentioning manufacturing.
48UIHVFJ,Include,,95,The abstract discusses an application in industrial IoT which falls within manufacturing scope.
48ZYDTJZ,Exclude,E2,100,"The paper focuses on server performance anomaly detection in data centers or similar IT environments, not manufacturing."
4B7YECQB,Exclude,E5,90,The abstract describes a literature review with no own contribution beyond proposing a conceptual model.
4BAKJUXV,Exclude,E2,95,"The abstract discusses airport cybersecurity using Digital Twins and Generative AI, which is outside manufacturing."
4BWNRBJM,Exclude,E2,100,"FL application is described for IoT authentication, not manufacturing."
4BZ8BBQE,Exclude,E2,95,"The abstract clearly discusses FL application in smart cities' cybersecurity, not manufacturing."
4EY4QWCA,Exclude,E2,100,The abstract clearly discusses cybersecurity applications without any mention of manufacturing.
4FBSG7NP,Include,,100,"The abstract discusses federated learning in Industrial IoT, which is within the manufacturing scope."
4FPGZMH3,Exclude,E5,100,This paper is a systematic literature review without presenting its own novel contribution.
4GDX64AJ,Include,,95,The abstract clearly discusses an application of federated learning in smart manufacturing for anomaly detection.
4J4EEP2K,Exclude,E2,95,"The paper focuses on 6G wireless networks and neuromorphic computing, not manufacturing."
4KLE3W56,Exclude,E5,95,"The abstract describes a literature review or survey without own contribution, focusing on theoretical understanding and proposing a framework rather than presenting new empirical results."
4KRI39WG,Exclude,E2,95,"The abstract discusses AI integration in 6G networks with a focus on communication and wireless technologies, not manufacturing."
4LEPAMPV,Exclude,E2,100,The abstract clearly states the application of federated learning in an e-learning platform context.
4LFGAPQC,Exclude,E2,95,"The case study and datasets are explicitly from Telecom analytics, not manufacturing."
4M5ZGUJ4,Exclude,E2,100,The abstract discusses federated learning applied to energy prediction in smart homes.
4M9K568Y,Exclude,E2,100,The abstract discusses cybersecurity for high-speed trains and does not mention manufacturing or federated learning.
4MDJGQEP,Exclude,E2,100,"The abstract clearly discusses malware detection in Android-based IoT devices, which is outside the manufacturing domain."
4NKRHVZL,Exclude,E2,100,The abstract discusses localization strategies in WSNs for applications outside manufacturing.
4NS62PG3,Include,,85,The abstract does not mention federated learning or its application outside manufacturing.
4QGK3K5L,Include,,100,The abstract does not specify an application domain outside manufacturing.
4S5W5KAH,Exclude,E2,95,"The abstract mentions healthcare and autopilot as sensitive data-driven industrial scenarios, which fall outside manufacturing."
4T5I4QMZ,Exclude,E2,100,The abstract clearly discusses a vehicular data collection framework with no mention of manufacturing.
4T9G6G2T,Exclude,E5,100,The abstract describes a literature review or survey method without presenting any original research or application.
4UGBIT8Z,Exclude,E2,95,The paper focuses on wireless communication and edge computing without mentioning federated learning in a manufacturing context.
4WPZLQL4,Exclude,E5,100,The abstract clearly states that the paper is a bibliometric analysis and literature review of existing works on CRP.
4X4PPHD4,Include,,100,"The abstract discusses a reference architecture for data spaces in manufacturing, which does not exclude it based on the given criteria."
52GHRF9H,Include,,85,The abstract discusses federated learning in an industrial context but does not specify a concrete manufacturing application or transferable models to manufacturing from other sectors.
53NFSG9J,Include,,75,"The paper discusses industrial IoT applications, which are within the scope of manufacturing."
56ZPCH43,Exclude,E2,100,The paper focuses on IIoT security and privacy-preserving strategies without mentioning federated learning or its application in manufacturing.
572Z2QKW,Include,,95,"The abstract discusses federated learning in a space security context but does not explicitly mention transferability to manufacturing, so it cannot be excluded based on E2 alone. It also presents original research rather than being a literature review."
575HLE3R,Exclude,E2,100,"The abstract discusses a framework for chemical engineering construction projects, which is outside the manufacturing scope."
57BNTSI2,Exclude,E2,95,"The abstract discusses fog computing applications in intelligent transportation systems, smart cities, and IoT, which are outside manufacturing."
57EFH5LT,Exclude,E2,95,"The work focuses on IoT environments and intrusion detection, not manufacturing."
57WXARML,Exclude,E2,95,The abstract clearly discusses applications in healthcare rather than manufacturing.
59BGU88J,Exclude,E5,100,The abstract clearly states it is a state-of-the-art study and review without own contribution.
59PSK3GI,Exclude,E2,95,"The abstract discusses IoT cybersecurity in smart cities, not manufacturing."
5A33MZ8Z,Exclude,E2,95,"The abstract discusses IIoT in smart cities, not manufacturing."
5ADT647V,Exclude,E2,95,"The abstract discusses energy management in buildings, which is outside manufacturing."
5AP52GAZ,Exclude,E5,20,The abstract does not describe an original implementation or application of federated learning but rather discusses a theoretical framework and simulation results for resource management.
5B32LWAB,Exclude,E2,95,"The abstract clearly discusses AI applications in the food industry, not manufacturing."
5C7ZLYAZ,Exclude,E2,95,"The abstract discusses federated learning applied to cybersecurity in edge computing and IIoT, not manufacturing."
5CBP4UP8,Exclude,E2,100,The paper discusses IoT security applications in healthcare and other domains outside manufacturing.
5CFBEZH2,Exclude,E2,95,The abstract discusses cross-domain applications including healthcare and industrial automation but does not explicitly discuss transferable models to manufacturing.
5DG2XSSU,Exclude,E5,100,The abstract describes a literature review or survey without own contribution.
5DTBDXBE,Include,,95,The abstract discusses an application of federated learning in manufacturing industry specifically for industrial automation systems.
5E4XJI24,Exclude,E5,95,The abstract explicitly states that the paper is a review of FL without presenting original research or application.
5E8ALEYE,Exclude,E2,100,"The abstract discusses the application in distributed edge–cloud computing systems and smart city infrastructure services, which are outside manufacturing."
5EF8ULPT,Include,,95,"The abstract describes a federated learning application in industrial defect detection, which falls within the scope of manufacturing."
5ER4X4Z8,Include,,95,"The abstract discusses federated learning in the context of IIoT for Industry 4.0, which falls under manufacturing."
5H4XKF9B,Include,,95,"The abstract discusses federated learning applied to predictive maintenance in manufacturing, fitting within the review scope."
5JLFAQ8L,Exclude,E2,95,"The abstract discusses intrusion detection systems for network data analysis, which is outside the manufacturing domain."
5JZJSNWT,Include,,95,The abstract discusses a Blockchain-based decentralized federated learning framework applied to Industry 4.0 use cases such as predictive maintenance and product visual inspection.
5K4SAGSI,Include,,95,"The abstract does not provide clear evidence that the FL application is outside manufacturing or that it is a literature review without own contribution. It discusses an applied implementation in smart factories, which fall under manufacturing."
5MC2PIWN,Exclude,E2,100,The abstract clearly states the application is in smart cities for air quality prediction.
5MMYVF4V,Include,,85,The abstract discusses federated learning but does not specify its application outside manufacturing or provide a literature review without own contribution.
5NJTQ6RP,Exclude,E2,95,"The paper focuses on intrusion detection systems for IoT networks, not manufacturing applications."
5PHMCM9N,Exclude,E5,100,The abstract clearly states this is a literature review without own contribution.
5PM58E4D,Include,,95,"The abstract describes an application within Industrial Internet of Things (IIoT) for localizing human operators in a manufacturing setting with robots, which falls under manufacturing."
5QEBGXPD,Exclude,E2,85,The abstract mentions healthcare and does not discuss transferable models to manufacturing.
5RJNSLXF,Exclude,E2,95,"The abstract clearly states that the work focuses on federated learning for network attacks detection in smart cities, which is outside manufacturing."
5RZDFDQW,Include,,95,The abstract discusses FL in the context of Industrial Cyber–Physical Systems (ICPS) which is relevant to manufacturing.
5SDCXNME,Include,,85,The abstract does not provide clear evidence that the FL application is outside manufacturing or that it is a literature review without own contribution.
5SPVQ2IW,Exclude,E2,100,"The abstract clearly discusses AI/ML applications in nanomedicine, not manufacturing."
5VIVTSFD,Exclude,E2,100,The abstract clearly discusses breast cancer and adoptive cell therapy in healthcare.
5W4XGCMF,Exclude,E2,95,"The abstract discusses IoT and blockchain in agriculture, not manufacturing."
5W9FXHX6,Exclude,E2,100,The abstract clearly states that the work is in healthcare surveillance.
5WVF7ZBI,Exclude,E2,75,The abstract discusses an Adaptive Digital Twin framework integrated with Augmented Reality but does not mention federated learning being applied within a manufacturing context or any transferable models to manufacturing.
5YB85U4Q,Exclude,E2,100,The paper discusses an AI framework for IoT data analytics but does not relate to federated learning in manufacturing.
5YIL5GTQ,Exclude,E5,100,The abstract clearly states that this is a review paper without own contribution.
5ZD9PVUD,Exclude,E2,100,"The abstract discusses federated learning applied to IoT security in telecommunications networks, not manufacturing."
62TCJ6XG,Exclude,E2,95,The abstract clearly states the application of federated learning in healthcare.
63B5NNQ4,Exclude,E2,100,The abstract discusses IoT security and does not mention manufacturing.
63NYZD7B,Exclude,E2,100,The abstract discusses IoT security applications without mentioning manufacturing.
64H7TA4E,Exclude,E2,95,The application is described for non-manufacturing domains like agriculture and emergency management.
65DDBJKI,Exclude,E2,95,"The paper discusses FL applied to cybersecurity in IoT, not manufacturing."
6639PZMG,Exclude,E2,95,"The abstract explicitly mentions application in healthcare and smart cities, not manufacturing."
68294HM4,Exclude,E2,100,"The abstract discusses swarm robotics and blockchain technology in robotics, which is outside manufacturing."
68RJ8HHW,Include,,70,The abstract does not specify an application outside manufacturing.
69CPLI8L,Exclude,E5,90,The abstract clearly states that this is a review presenting an overview of RL algorithms for Metaverse applications without its own contribution.
6B9IX6HC,Exclude,E2,95,The abstract explicitly mentions application in healthcare and financial risk control.
6C48SSQS,Exclude,E2,95,"FL application is described for cybersecurity governance, not manufacturing."
6DLNEIUD,Exclude,E2,100,"The abstract discusses wireless communication systems and spectrum prediction, which is outside the manufacturing domain."
6EV2PJ7Z,Exclude,E2,100,"The abstract clearly states that federated learning is applied to parking management, which is outside manufacturing."
6G6XVX9S,Exclude,E2,95,"The abstract discusses the application of federated learning or related concepts in UAVs, which is outside manufacturing."
6G9SZ23T,Exclude,E2,95,"The study focuses on carbon emission accounting in the power grid supply chain, which is outside manufacturing."
6IVXL87Q,Exclude,E5,90,
6J7QVBUM,Exclude,E5,90,
6KZ4S6MQ,Exclude,E2,95,"The abstract discusses a reinforcement learning approach applied to Zigbee networks in IoT, which is outside manufacturing."
6LBVUR9C,Exclude,E2,95,The abstract discusses IoT cybersecurity and ensemble machine learning in a general context without mentioning manufacturing.
6LFRZWN3,Exclude,E2,95,"The abstract discusses IoT security in the context of DDoS attacks, which is outside manufacturing."
6LIJXYS9,Exclude,E5,100,The abstract clearly states this is a review of computational intelligence techniques in IoT reliability.
6M4RWLJS,Include,,95,The abstract discusses federated learning in the context of Industry 4.0 and smart manufacturing.
6PMZSERN,Exclude,E5,100,The abstract explicitly states it is a survey without own contribution.
6SGHCCG5,Exclude,E5,90,The abstract clearly states that the paper is a comprehensive review of deep learning-based image anomaly detection techniques without presenting original research or novel contributions.
6TRTUSMS,Exclude,E5,95,The abstract clearly states this is a systematic review without own contribution.
6UQETPVH,Exclude,E2,95,"FL application outside manufacturing (healthcare, finance, etc.)"
6X43DA6S,Exclude,E5,95,The abstract explicitly states it is a survey without own contribution.
6X4KRE5V,Include,,95,"The abstract discusses a federated learning framework for IIoT intrusion detection in manufacturing, fitting the review scope on FL applications in manufacturing."
6X7TBGXE,Include,,95,"The abstract discusses federated learning applied to IIoT in smart factories, which falls within manufacturing."
6YHWPKID,Exclude,E5,100,The abstract describes a literature review without presenting original research or implementation.
6YLBRS2K,Exclude,E2,95,"The abstract explicitly mentions application in healthcare, finance and industrial IoT."
6YLG6UUS,Exclude,E2,95,"The abstract clearly states the application is in earth exploration and coastal monitoring using IIoT networks, not manufacturing."
73WGXRXM,Exclude,E5,100,The abstract explicitly states it is a literature review without own contribution.
74VX42V2,Exclude,E2,95,"The abstract clearly discusses federated learning in agriculture, not manufacturing."
755MDMKG,Exclude,E2,100,"The abstract clearly discusses cybersecurity applications for IoT networks, which is outside the manufacturing domain."
76GYPQP2,Include,,100,The abstract does not mention federated learning or any application outside manufacturing.
76U73HEM,Exclude,E5,90,The abstract clearly states that it is a problem-driven survey without presenting original research or implementation.
78UVWHIL,Exclude,E5,95,
78W252KB,Exclude,E2,95,FL application outside of manufacturing in mobile AI.
78ZW3WB7,Exclude,E2,95,The abstract clearly states the application is in healthcare (IoMT) with no mention of transferability to manufacturing.
7AJK687B,Exclude,E5,90,The abstract clearly states it is a literature review proposing a tool to automate literature reviews.
7CCRR6RU,Exclude,E5,100,The abstract clearly states that it is a review article focusing on technological innovations in Green AI without presenting its own original contribution.
7DT5ZU9H,Exclude,E2,100,The abstract clearly discusses IoMT devices in healthcare.
7EHGZURW,Include,,85,The abstract discusses federated learning applied to Industrial Internet of Things (IIoT) in manufacturing without mentioning other industries.
7GGF3HZQ,Exclude,E2,95,Abstract explicitly discusses healthcare monitoring application.
7GKI8GF5,Exclude,E2,95,The abstract clearly states the application of federated learning in healthcare for predicting brain age from neuroimaging data.
7GVUUJV2,Exclude,E5,95,The abstract clearly states it is a bibliometric analysis and content analysis of existing literature without presenting original research or application.
7HUMBYEK,Include,,95,The abstract discusses federated learning applied to predictive maintenance in manufacturing using industrial datasets.
7HYIR8H8,Exclude,E5,90,The abstract describes a general paradigm for AI adoption in scientific research rather than presenting an applied implementation of federated learning in manufacturing.
7HZVDDKU,Exclude,E2,100,The paper focuses on blockchain technology for secure IoT communication and does not discuss federated learning.
7I42W4ZX,Include,,85,"The abstract discusses an AI-driven framework for quality control in 5G radio manufacturing, which falls within the scope of manufacturing applications."
7KVJK3MG,Exclude,E2,95,The abstract clearly discusses federated learning applications in healthcare rather than manufacturing.
7KYBJ763,Include,,95,"The abstract discusses a federated learning method applied in manufacturing service recommendations, which falls within the scope of manufacturing."
7LMUBFN2,Exclude,E2,95,"The paper focuses on energy load forecasting and security in smart grid-based IIoT networks, not manufacturing."
7LN3M5NV,Exclude,E2,100,"The abstract discusses AI application in film and television script creation, which is outside manufacturing."
7M44E832,Include,,100,The abstract does not mention federated learning or any application outside of manufacturing.
7MELZFN2,Exclude,E5,95,The abstract clearly states it is a comprehensive bibliometric analysis and review without presenting original research or application.
7MF3IPHD,Exclude,E2,100,The abstract clearly describes an application in healthcare for pandemic alerting and monitoring.
7Q6G3EUU,Exclude,E5,100,The abstract clearly states that it is a literature review without presenting any original research or contribution.
7QDSEDDL,Exclude,E2,95,"The abstract discusses federated learning in the context of smart cities, not manufacturing."
7QF737CS,Exclude,E2,95,The abstract discusses applications in civil engineering and construction with no mention of manufacturing or transferable models to manufacturing.
7QX8DMMM,Exclude,E2,95,The abstract explicitly mentions healthcare as one of the application areas.
7T799ZFR,Exclude,E5,90,The abstract describes a literature review covering testing methods for machine learning models without presenting original research or application.
7UPRWUX3,Exclude,E5,95,The abstract clearly states this is a survey without original contribution.
7VAIU7XZ,Exclude,E5,90,The abstract explicitly states it is a systematic review synthesizing findings from other papers.
7WBD45KG,Include,,100,The abstract discusses federated learning in an IoT context but does not specify it is outside manufacturing or discuss transferable models to manufacturing.
7X3P7VM9,Exclude,E2,100,"The abstract discusses electric vehicles and smart grids in the context of transportation, not manufacturing."
7XKKMQ4W,Include,,98,"This abstract discusses the application of federated learning in a manufacturing context with multi-modal data sources, fitting within the review scope."
7Z2I4CQ5,Exclude,E5,20,The abstract does not describe an applied implementation or novel research but rather outlines a general architecture and its theoretical benefits.
7Z773XEB,Exclude,E2,95,"The abstract discusses federated learning in cybersecurity, not manufacturing."
7Z8J33Y7,Exclude,E2,95,The abstract clearly discusses Personal Health Train (PHT) in healthcare context.
7ZP4PJB7,Exclude,E2,95,The abstract clearly discusses AI applications in healthcare (nanomedicine for cancer theranostics) without any mention of transferability to manufacturing.
848UX4HG,Exclude,E2,100,The abstract clearly states the research is about federated learning in healthcare.
887JQIZG,Exclude,E2,100,The abstract clearly discusses IoMT in healthcare without any mention of manufacturing.
88DK7R3W,Exclude,E2,95,Abstract discusses application of FL in medical industry.
88M5GN9Y,Include,,75,The abstract does not mention federated learning or any application outside of manufacturing.
88NZWTSE,Exclude,E2,100,"The abstract discusses smart grid cybersecurity using AI and blockchain, which is outside manufacturing."
88VVYXND,Include,,100,"The abstract discusses smart factories and IIoT applications, which are within manufacturing."
8A4HUC3F,Exclude,E5,100,The abstract clearly states it is a structured literature review and comparative analysis without own contribution.
8AJUPJ7A,Exclude,E2,95,"The paper applies FedRL to scenarios in communication networks and smart grids, not manufacturing."
8CD5DXIW,Exclude,E5,90,The abstract describes a literature review or survey without presenting original research or novel contribution.
8CEPY2NF,Exclude,,0,The abstract does not mention federated learning or manufacturing applications.
8FKFKFFY,Exclude,E2,95,"The paper focuses on IoT networks and real-time monitoring systems, not manufacturing."
8GFTKXH2,Exclude,E2,98,"The abstract clearly discusses federated learning in the context of elderly healthcare, not manufacturing."
8HCIHMQ3,Exclude,E2,95,The abstract discusses non-intrusive load monitoring (NILM) in an industrial context but does not mention federated learning or any transferable models to manufacturing.
8I4UGWA5,Exclude,E2,100,"The abstract clearly states that the work is applied to SDN-based environments for intrusion detection, which is outside manufacturing."
8I75ICB4,Exclude,E2,95,"The paper focuses on financial management challenges in grain enterprises, not manufacturing processes or federated learning applications relevant to manufacturing."
8KC4HHKR,Exclude,E2,95,The abstract explicitly mentions real-world medical and industrial applications but focuses on the applicability to medical applications.
8NDJCVLJ,Exclude,E2,100,The abstract clearly discusses financial applications of ML and DL.
8PLE3L8Z,Exclude,E5,100,The abstract clearly states it is a review highlighting strategies and discussing applications in various fields without presenting original research or implementation.
8QDEPGCS,Exclude,E2,100,The study focuses on education and uses ISBL in manufacturing as an example rather than applying FL to manufacturing.
8QSQ66SA,Exclude,E5,100,The abstract explicitly states that this is a comprehensive review of edge computing research without presenting original empirical work or models.
8RGS8JGT,Include,,85,"The abstract discusses an IIoT application in manufacturing (gas industry), which is within the scope of manufacturing."
8RZILKWQ,Exclude,E2,80,The study focuses on cyber-attack detection for IIoT systems using deep learning methodologies without explicit mention of manufacturing or transferability to manufacturing.
8S7KYCVS,Exclude,E2,100,The abstract clearly discusses a healthcare-related application of federated learning models.
8TEPDNDH,Exclude,E5,95,The abstract describes a literature review or survey without own contribution.
8UMRZK8A,Exclude,E2,100,The abstract discusses IIoT and botnet detection in an industrial context but does not mention federated learning or its application to manufacturing.
8V5PMB9C,Exclude,E2,95,"The abstract clearly discusses federated learning applications in IoT DDoS detection, which is outside the manufacturing domain."
8Z8TUABA,Exclude,E2,100,"The abstract discusses cybersecurity in smart cities, which is outside manufacturing."
9235KUH7,Exclude,E2,100,The abstract discusses applications in health and industrial domains but does not specify manufacturing or transferability to manufacturing.
927AJNXE,Exclude,E2,95,The paper focuses on a rural mobility use case for transportation systems rather than manufacturing.
92TNXRMU,Exclude,E2,95,The abstract discusses federated learning applied to natural gas pipeline leak detection.
94L5WK8E,Exclude,E2,100,The abstract clearly states the application of FL in healthcare domains such as Electronic Health Records (EHR) management.
97IWVD3L,Include,,85,The abstract discusses manufacturing systems but does not mention federated learning or applications outside of manufacturing.
988HMSVR,Exclude,E2,100,"The abstract discusses a system for university student entrepreneurial ventures, which is outside the manufacturing domain."
98CAPWTD,Include,,95,The abstract discusses federated learning applied to predictive maintenance in manufacturing.
98H3VQ95,Exclude,E5,95,The abstract states that the article surveys existing methods and paradigms without presenting its own novel contribution.
9AXEZCJQ,Exclude,E5,100,The abstract clearly states that this paper is a survey focusing on adversarial machine learning across various industries.
9B77YY88,Exclude,E5,100,The abstract describes a literature review or survey without own contribution.
9BQPDEGH,Exclude,E2,100,"The abstract clearly states the application is in intelligent transportation systems and vehicular networks, not manufacturing."
9EF43QF9,Exclude,E2,95,The abstract clearly states that the work is focused on the chemical industry.
9GA3C7CH,Include,,95,The abstract does not provide clear evidence that the FL application is outside manufacturing or that it is a literature review without own contribution.
9HRC7YX6,Include,,80,The abstract discusses Federated Learning in the context of Industrial Internet of Things (IIoT) applications relevant to manufacturing without focusing on other sectors.
9HVH64R8,Include,,100,The abstract discusses federated learning in manufacturing without mentioning other industries.
9HY282ZP,Exclude,,100,The abstract does not mention federated learning or manufacturing-specific applications of FL.
