Unternehmen;Link;Ausschlussgrund (E1–E7, adaptiert)
Lerna AI;https://www.crunchbase.com/organization/lerna-ai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Sensoworks;https://www.crunchbase.com/organization/sensoworks;"E7 – Manufacturing-Angebot vorhanden, aber kein eigener FL-Use-Case dafür belegt; FL-Marketingaussagen betreffen andere Branchen (Healthcare/Smart City)"
HCC Healthcare;https://www.crunchbase.com/organization/hcc-healthcare;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Advanced Virtual;https://www.crunchbase.com/organization/advanced-virtual;E3 – Geringe inhaltliche Substanz/sehr vage, generische Außendarstellung
Quantimon;https://www.crunchbase.com/organization/quantimon;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Temporal Dynamics;https://www.crunchbase.com/organization/temporal-dynamics;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Footprint-AI;https://www.crunchbase.com/organization/footprint-ai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Valence;https://www.crunchbase.com/organization/valence-digital;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
Katulu;https://www.crunchbase.com/organization/katulu;—
Radiomics;https://www.crunchbase.com/organization/radiomics;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
SymetryML;https://www.crunchbase.com/organization/symetryml;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Clinerion;https://www.crunchbase.com/organization/clinerion;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
TakTik;https://www.crunchbase.com/organization/taktik-2c3f;"E7 – Manufacturing-Case existiert, ist aber kein Federated-Learning-Case; die echten FL-Cases der Firma sind in anderen Branchen (AML, Biometrie, medizinische Bildgebung), nicht Manufacturing"
Primitive Technology;https://www.crunchbase.com/organization/primitive-technology;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
BranchKey;https://www.crunchbase.com/organization/branchkey;—
Savitri Network;https://www.crunchbase.com/organization/savitri-network;E1 – Reine Algorithmus-/Protokollentwicklung ohne konkrete Geschäftsanwendung
DAIN;https://www.crunchbase.com/organization/dain-1e5b;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
embrya sas;https://www.crunchbase.com/organization/embrya-sas;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Canny Vision;https://www.crunchbase.com/organization/canny-vision;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Flowera;https://www.crunchbase.com/organization/flowera;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Vengix;https://www.crunchbase.com/organization/vengix;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
AffectLog;https://www.crunchbase.com/organization/affectlog;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
DEEPLEARN DYNAMICS LTD;https://www.crunchbase.com/organization/deeplearn-dynamics-ltd;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
Atlas Node;https://www.crunchbase.com/organization/atlas-node;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
MATRIQX SERVICES LIMITED;https://www.crunchbase.com/organization/matriqx-services-limited;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Rectified.ai;https://www.crunchbase.com/organization/rectified-ai;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
aimAI;https://www.crunchbase.com/organization/aimai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
TOXIPROOFAI LTD;https://www.crunchbase.com/organization/toxiproofai-ltd;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
TruvisAI Limited;https://www.crunchbase.com/organization/truvisai-limited;E4 – Reine Beratung/Compliance ohne eigenes Produkt mit Manufacturing-Geschäftsmodell-Bezug
Resolve Aps;https://www.crunchbase.com/organization/resolve-aps;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
XTWINEYE LIMITED;https://www.crunchbase.com/organization/xtwineye-limited;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
cKnowledge.org;https://www.crunchbase.com/organization/cknowledge-ltd;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
clickncrypt;https://www.crunchbase.com/organization/clickncrypt;"E7 – Technik ist FHE statt klassisches FL; kein benannter, quantifizierter Manufacturing-Deployment-Case gefunden"
Yehey.com;https://www.crunchbase.com/organization/yehey-com;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Cognetix;https://www.crunchbase.com/organization/cognetix-bc2c;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
Signally;https://www.crunchbase.com/organization/signally;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
Flowerpilot;https://www.crunchbase.com/organization/flowerpilot;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
GENIA (RaceFor.AI);https://www.crunchbase.com/organization/genia-3410;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
LORETA HEALTH DISTRIBUTION LTD.;https://www.crunchbase.com/organization/loreta-health-distribution-ltd;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
AI Data Sovereignty Co-Creation Organization;https://www.crunchbase.com/organization/ai-data-sovereignty-co-creation-organization;—
Neurint;https://www.crunchbase.com/organization/neurint;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
MLSYS IT SERVICES Inc.;https://www.crunchbase.com/organization/mlsys-it-services-inc;E5 – Organisiert/kuratiert nur (Konferenz, Benchmarking-Infra) ohne eigenes FL-Produkt
TRAIN S.R.L.;https://www.crunchbase.com/organization/train-s-r-l;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Timestack AI;https://www.crunchbase.com/organization/timestack-ai;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
GOODSPOT AI LABS LTD;https://www.crunchbase.com/organization/goodspot-ai-labs-ltd;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Cambridge Mathematics of Information in Healthcare;https://www.crunchbase.com/organization/cambridge-mathematics-of-information-in-healthcare;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
EdgeAI;https://www.crunchbase.com/organization/edgeai;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
CryptAI;https://www.crunchbase.com/organization/cryptai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
AIrean Limited;https://www.crunchbase.com/organization/airean-limited;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Burndown Studio Srl;https://www.crunchbase.com/organization/burndown-studio-srl;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Social Capital Stockholm;https://www.crunchbase.com/organization/social-capital-stockholm;E6 – Quelle/Website nicht zugänglich, verwaist oder Firma nicht eindeutig verifizierbar
HEYOOSH LTD;https://www.crunchbase.com/organization/heyoosh-ltd;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Netie.AI;https://www.crunchbase.com/organization/netie-ai;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Labarna AI;https://www.crunchbase.com/organization/labarna-ai;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
